ID_Number,Displacement
2006,16.2958
2007,16.4213
2010,11.9976
2011,16.749
2015,14.1413
2016,16.4861
2017,16.3664
2020,11.9833
2022,16.2
2025,13.7365
2036,12.8627
2038,16.1478
2041,14.1103
2042,17.7973
2043,17.1529
2046,14.4402
2051,13.8391
2053,16.5691
2056,14.575
2057,15.6705
2066,14.1998
2067,17.2664
2079,17.0274
2085,12.8974
2087,17.183
2090,15.2316
2091,16.8513
2093,16.6573
2098,17.0246
2102,13.4771
2105,14.6349
2108,17.1939
2110,14.1957
2113,17.1843
2117,16.1216
2119,15.9341
2122,17.5981
2125,13.9955
2135,13.8932
2137,14.5008
2140,14.7003
2143,15.3256
2144,14.5691
2147,15.3193
2148,13.4273
2152,13.7813
2156,13.738
2164,16.189
2168,15.2401
2175,14.4937
2178,15.7845
2184,14.4982
2186,16.2539
2187,12.7076
2188,14.1684
2191,14.5243
2192,14.427
2194,14.5778
2195,17.003
2198,16.7421
2200,14.7914
2202,17.0544
2207,16.4844
2210,12.4805
2215,16.1693
2216,14.0131
2220,16.4864
2222,14.7578
2223,17.1188
2225,15.2595
2227,16.1241
2230,14.0436
2231,16.4365
2234,14.1313
2235,15.5952
2237,13.3095
2239,16.1016
2242,15.4081
2243,17.0746
2245,15.4049
2246,16.5035
2247,14.8123
2251,16.9522
2253,13.8931
2255,15.399
2257,14.7103
2259,18.0477
2262,15.3462
2263,16.5204
2265,14.7437
2266,13.0252
2270,15.9144
2271,17.0885
2273,14.5732
2275,16.328
2277,14.0632
2282,14.3454
2284,16.5066
2286,15.3353
2287,15.543
2288,16.1266
2290,15.307
2292,15.2304
2293,15.1203
2295,15.3205
2296,15.3104
2297,17.2585
2298,16.3155
2300,15.8427
2301,14.9743
2302,16.5192
2303,15.3331
2305,14.4819
2306,14.5342
2307,16.1652
2308,16.8849
2310,11.7831
2311,14.4811
2312,15.5891
2313,16.3556
2315,15.0548
2317,14.766
2318,15.8147
2321,14.1689
2322,16.3519
2323,16.0826
2326,14.8778
2331,16.3541
2332,16.952
2336,16.8186
2339,16.4087
2340,15.6835
2341,14.0567
2343,16.281
2344,14.9197
2348,16.382
2350,16.6991
2352,17.2627
2353,16.0042
2354,16.3243
2357,17.5041
2362,16.5002
2365,16.683
2368,14.5934
2369,16.8733
2370,15.1359
2374,17.2273
2375,16.7184
2379,15.2476
2380,14.9054
2388,16.6592
2390,14.9811
2391,15.3713
2396,16.4297
2397,16.7237
2399,15.9727
2403,15.0898
2406,17.367
2408,16.6371
2409,16.5587
2411,15.8825
2414,16.5884
2415,15.6598
2421,16.1892
2423,14.9316
2430,12.3066
2432,15.6056
2440,16.306
2455,15.74
2463,16.2118
2473,16.611
2481,16.5615
2486,15.4009
2506,15.1746
2509,14.7228
2523,15.7225
2526,14.5191
2534,11.0211
2541,15.5736
2546,15.9851
2558,16.3476
2562,14.3032
2563,16.5459
2571,16.4742
2580,15.602
2581,11.5383
2587,16.3611
2595,14.989
2598,15.9235
2600,18.0568
2602,16.6211
2604,15.2255
2605,14.3288
2606,16.7447
2608,18.179
2609,15.0922
2612,16.0045
2614,16.6974
2617,15.4688
2618,16.6103
2620,16.8041
2622,16.6401
2624,15.9698
2628,16.8358
2634,16.3564
2636,15.723
2646,16.9046
2650,16.982
2652,16.2957
2664,17.0363
2666,10.5921
2668,15.966
2671,16.3762
2672,16.1727
2675,14.6135
2676,16.2008
2679,15.4366
2680,13.6396
2692,17.4992
2697,15.3334
2698,13.5252
2706,15.9015
2710,17.7733
2724,15.4798
2733,10.8734
2735,14.6523
2738,10.9589
2739,16.601
2740,12.7897
2742,11.4056
2743,16.9051
2744,12.8115
2747,15.8687
2751,16.429
2752,13.0341
2753,12.4142
2755,16.2559
2761,12.3548
2763,15.6373
2764,13.1334
2765,12.9277
2766,16.25
2769,12.6123
2773,15.5888
2774,12.6626
2776,16.78
2778,16.1933
2779,13.1526
2781,16.369
2783,16.0444
2791,16.1918
2793,16.4739
2794,12.6229
2798,15.8833
2799,12.3898
2801,16.2385
2804,12.4444
2809,12.4893
2810,11.6867
2814,13.0606
2819,13.1873
2824,13.2265
2831,15.9548
2836,16.2264
2837,13.5389
2839,16.2578
2841,15.6673
2844,16.6418
2846,16.0635
2847,12.8162
2848,11.8067
2849,16.3365
2851,16.1865
2852,12.9833
2853,12.7377
2854,16.7037
2857,13.6395
2866,16.0111
2871,16.1804
2873,11.9132
2874,16.3998
2876,16.0645
2878,11.5508
2879,16.6221
2881,16.0243
2882,12.9262
2883,12.432
2887,12.9051
2888,12.2862
2889,16.7466
2891,16.1489
2892,13.165
2895,16.1263
2902,13.001
2904,16.8235
2907,13.0067
2912,12.9196
2937,13.2117
2938,12.4365
2939,16.4019
2940,16.025
2943,16.0431
2944,16.0554
2945,12.6639
2949,16.3595
2950,13.6216
2953,16.2671
2955,12.4311
2958,15.8557
2960,17.2469
2965,16.5715
2970,16.287
2972,15.0038
2973,16.2985
2979,11.3221
2980,16.1415
2983,16.4093
2984,11.1123
2986,12.551
2988,16.1445
2989,11.3723
2990,16.3882
2991,13.6463
2998,16.0374
3000,16.1392
3001,13.9507
3002,16.5871
3003,13.0455
3006,15.9595
3007,11.7067
3009,16.0817
3010,10.914
3011,14.3116
3012,16.0449
3013,11.0757
3015,16.1078
3016,12.0549
3017,14.324
3019,10.6032
3020,15.4347
3021,16.5751
3022,11.4747
3023,14.3503
3024,16.106
3025,11.5835
3027,15.3206
3030,12.53
3033,12.0509
3034,15.9019
3036,16.4839
3037,14.6989
3038,12.5888
3039,16.6622
3040,16.1171
3042,13.7007
3043,16.2404
3044,16.2472
3046,11.8728
3047,15.9707
3048,16.5578
3049,13.953
